#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA13	ZNF573	9606.ENSP00000411096	9606.ENSP00000440464	0	0	0	0	0	0.074	0	0.452	0.471
ACADL	ACSM5	9606.ENSP00000233710	9606.ENSP00000327916	0.044	0	0	0	0.224	0	0.187	0.292	0.516
AHCTF1	AKNA	9606.ENSP00000355465	9606.ENSP00000303769	0	0	0	0	0	0	0	0.430	0.430
AHCTF1	NUP188	9606.ENSP00000355465	9606.ENSP00000361658	0	0	0	0	0.062	0.867	0.500	0.635	0.974
AMMECR1	TMTC4	9606.ENSP00000262844	9606.ENSP00000343871	0	0	0	0	0.081	0	0	0.375	0.401
AMMECR1	TMEM164	9606.ENSP00000262844	9606.ENSP00000361138	0	0	0	0	0.200	0	0	0.625	0.687
AMPD3	PDE11A	9606.ENSP00000379802	9606.ENSP00000286063	0	0	0	0	0	0	0.650	0.196	0.706
AQP5	MUC5AC	9606.ENSP00000293599	9606.ENSP00000485659	0	0	0	0	0.121	0.109	0	0.452	0.534
ARL6IP1	BYSL	9606.ENSP00000306788	9606.ENSP00000230340	0	0	0	0	0.062	0.767	0	0	0.772
ARL6IP1	IMP4	9606.ENSP00000306788	9606.ENSP00000259239	0	0	0	0	0.049	0.618	0	0	0.621
ARL6IP1	PRAMEF6	9606.ENSP00000306788	9606.ENSP00000365360	0.046	0	0	0	0.300	0.256	0	0.100	0.493
ARL6IP1	POLR1B	9606.ENSP00000306788	9606.ENSP00000444136	0.058	0	0	0	0.400	0.265	0	0.154	0.601
ATP6V1B1	MTOR	9606.ENSP00000234396	9606.ENSP00000354558	0	0	0	0	0	0	0.500	0.087	0.524
ATP6V1B1	OXR1	9606.ENSP00000234396	9606.ENSP00000405424	0	0	0	0	0.043	0.109	0	0.498	0.535
ATR	BRIP1	9606.ENSP00000343741	9606.ENSP00000259008	0	0	0	0	0.104	0.071	0.500	0.524	0.775
ATR	POLR2D	9606.ENSP00000343741	9606.ENSP00000272645	0	0	0	0	0.056	0	0.500	0	0.507
ATR	SASS6	9606.ENSP00000343741	9606.ENSP00000287482	0	0	0	0	0.144	0.391	0	0.243	0.570
ATR	FANCD2	9606.ENSP00000343741	9606.ENSP00000287647	0	0	0	0	0.102	0.621	0.500	0.639	0.930
ATR	RRM1	9606.ENSP00000343741	9606.ENSP00000300738	0	0	0	0	0.074	0.284	0	0.459	0.610
ATR	MTOR	9606.ENSP00000343741	9606.ENSP00000354558	0	0	0	0.554	0.143	0.079	0	0.342	0.436
ATR	RFC4	9606.ENSP00000343741	9606.ENSP00000376272	0	0	0	0	0.110	0.166	0.500	0.539	0.806
ATR	CHEK1	9606.ENSP00000343741	9606.ENSP00000391090	0	0	0	0	0.059	0.974	0.900	0.947	0.999
BCLAF1	DDX21	9606.ENSP00000435210	9606.ENSP00000346120	0	0	0	0	0.208	0.229	0	0.149	0.435
BCLAF1	CBLL1	9606.ENSP00000435210	9606.ENSP00000401277	0	0	0	0	0.066	0	0	0.726	0.733
BMP4	SALL4	9606.ENSP00000245451	9606.ENSP00000217086	0	0	0	0	0.049	0.053	0	0.442	0.453
BMP4	ZIC3	9606.ENSP00000245451	9606.ENSP00000287538	0	0	0	0	0.049	0.054	0	0.437	0.449
BMP4	PTCH2	9606.ENSP00000245451	9606.ENSP00000361266	0	0	0	0	0	0.166	0	0.390	0.470
BMP4	OLFML3	9606.ENSP00000245451	9606.ENSP00000322273	0	0	0	0	0.075	0	0	0.493	0.510
BMP4	SIX2	9606.ENSP00000245451	9606.ENSP00000304502	0	0	0	0	0.062	0.071	0	0.521	0.546
BMP4	DLX1	9606.ENSP00000245451	9606.ENSP00000354478	0	0	0	0	0.050	0	0	0.688	0.691
BOC	PTCH2	9606.ENSP00000273395	9606.ENSP00000361266	0	0	0	0	0.060	0.124	0.900	0.729	0.974
BRIP1	RNASEH2A	9606.ENSP00000259008	9606.ENSP00000221486	0.075	0	0	0	0.333	0	0	0.318	0.543
BRIP1	POLR2D	9606.ENSP00000259008	9606.ENSP00000272645	0	0	0	0	0.063	0.402	0	0.069	0.432
BRIP1	RFC4	9606.ENSP00000259008	9606.ENSP00000376272	0.058	0	0	0	0.172	0.089	0.500	0.201	0.664
BRIP1	CHEK1	9606.ENSP00000259008	9606.ENSP00000391090	0	0	0	0	0.279	0.068	0.800	0.566	0.933
BRIP1	FANCD2	9606.ENSP00000259008	9606.ENSP00000287647	0	0	0	0	0.209	0.515	0	0.993	0.997
BYSL	DDX21	9606.ENSP00000230340	9606.ENSP00000346120	0	0	0	0	0.526	0.115	0	0.177	0.624
BYSL	POLR1B	9606.ENSP00000230340	9606.ENSP00000444136	0	0	0	0	0.847	0	0	0.094	0.856
BYSL	IMP4	9606.ENSP00000230340	9606.ENSP00000259239	0	0	0	0	0.889	0.991	0	0.110	0.999
CACNA2D4	PCARE	9606.ENSP00000372169	9606.ENSP00000332809	0	0	0	0	0.067	0	0	0.417	0.432
CAV3	MIS18BP1	9606.ENSP00000341940	9606.ENSP00000309790	0	0	0	0	0	0.458	0	0	0.457
CD53	FCGR2A	9606.ENSP00000497382	9606.ENSP00000271450	0	0	0	0	0.384	0	0	0.195	0.482
CDCA7	TRIP13	9606.ENSP00000306968	9606.ENSP00000166345	0	0	0	0	0.299	0.096	0	0.254	0.486
CDCA7	PIMREG	9606.ENSP00000306968	9606.ENSP00000250056	0	0	0	0	0.264	0	0	0.293	0.457
CDCA7	RFC4	9606.ENSP00000306968	9606.ENSP00000376272	0	0	0	0	0.274	0	0	0.231	0.418
CDCA7	CHEK1	9606.ENSP00000306968	9606.ENSP00000391090	0	0	0	0	0.404	0.067	0	0.042	0.421
CDCA7	CKAP2	9606.ENSP00000306968	9606.ENSP00000367276	0	0	0	0	0.194	0	0	0.366	0.468
CDCA7	MKI67	9606.ENSP00000306968	9606.ENSP00000357643	0	0	0	0	0.403	0	0	0.179	0.489
CDCA7	CENPF	9606.ENSP00000306968	9606.ENSP00000355922	0	0	0	0	0.365	0	0	0.249	0.502
CENPF	TRIP13	9606.ENSP00000355922	9606.ENSP00000166345	0	0	0	0	0.540	0	0	0.471	0.746
CENPF	PIMREG	9606.ENSP00000355922	9606.ENSP00000250056	0	0	0	0	0.436	0	0	0.445	0.673
CENPF	TMPO	9606.ENSP00000355922	9606.ENSP00000266732	0	0	0	0	0.243	0.051	0	0.298	0.451
CENPF	FANCD2	9606.ENSP00000355922	9606.ENSP00000287647	0	0	0	0	0.402	0	0	0.157	0.474
CENPF	RRM1	9606.ENSP00000355922	9606.ENSP00000300738	0	0	0	0	0.336	0	0	0.458	0.625
CENPF	MIS18BP1	9606.ENSP00000355922	9606.ENSP00000309790	0	0	0	0	0.707	0	0	0.189	0.752
CENPF	SKA3	9606.ENSP00000355922	9606.ENSP00000319417	0	0	0	0	0.461	0	0.900	0.458	0.968
CENPF	CIT	9606.ENSP00000355922	9606.ENSP00000376306	0	0	0	0	0.289	0.292	0	0.112	0.514
CENPF	RFC4	9606.ENSP00000355922	9606.ENSP00000376272	0	0	0	0	0.465	0	0	0.496	0.718
CENPF	CHEK1	9606.ENSP00000355922	9606.ENSP00000391090	0	0	0	0	0.492	0	0	0.549	0.761
CENPF	CKAP2	9606.ENSP00000355922	9606.ENSP00000367276	0	0	0.294	0	0.868	0	0	0.346	0.934
CENPF	MKI67	9606.ENSP00000355922	9606.ENSP00000357643	0	0	0	0	0.902	0.292	0	0.727	0.979
CFI	ORM2	9606.ENSP00000378131	9606.ENSP00000394936	0	0	0	0	0.139	0	0	0.404	0.465
CHEK1	TRIP13	9606.ENSP00000391090	9606.ENSP00000166345	0	0	0	0	0.575	0.071	0	0.245	0.676
CHEK1	POLR2D	9606.ENSP00000391090	9606.ENSP00000272645	0	0	0	0	0.160	0	0.500	0.107	0.592
CHEK1	FANCD2	9606.ENSP00000391090	9606.ENSP00000287647	0	0	0	0	0.283	0.464	0.400	0.840	0.958
CHEK1	RRM1	9606.ENSP00000391090	9606.ENSP00000300738	0	0	0	0	0.401	0.088	0	0.460	0.680
CHEK1	MIS18BP1	9606.ENSP00000391090	9606.ENSP00000309790	0	0	0	0	0.178	0	0	0.418	0.501
CHEK1	SKA3	9606.ENSP00000391090	9606.ENSP00000319417	0	0	0	0	0.402	0	0	0.103	0.441
CHEK1	MTOR	9606.ENSP00000391090	9606.ENSP00000354558	0	0	0	0	0.049	0.352	0	0.646	0.763
CHEK1	MKI67	9606.ENSP00000391090	9606.ENSP00000357643	0	0	0	0	0.403	0	0	0.296	0.562
CHEK1	CKAP2	9606.ENSP00000391090	9606.ENSP00000367276	0	0	0	0	0.221	0	0	0.428	0.535
CHEK1	RFC4	9606.ENSP00000391090	9606.ENSP00000376272	0	0	0	0	0.453	0.087	0.500	0.797	0.942
CIT	TRIP13	9606.ENSP00000376306	9606.ENSP00000166345	0	0	0	0	0.270	0.292	0	0	0.461
CIT	TMPO	9606.ENSP00000376306	9606.ENSP00000266732	0	0	0	0	0.107	0.292	0.400	0	0.587
CIT	RRM1	9606.ENSP00000376306	9606.ENSP00000300738	0	0	0	0	0.254	0.292	0	0	0.449
CIT	PLEKHG4	9606.ENSP00000376306	9606.ENSP00000353646	0	0	0	0	0.063	0	0.400	0	0.413
CIT	MKI67	9606.ENSP00000376306	9606.ENSP00000357643	0	0	0	0	0.235	0.292	0	0.077	0.456
CKAP2	PIMREG	9606.ENSP00000367276	9606.ENSP00000250056	0	0	0	0	0.228	0	0	0.487	0.587
CKAP2	TMPO	9606.ENSP00000367276	9606.ENSP00000266732	0	0	0	0	0.210	0	0	0.330	0.449
CKAP2	SKA3	9606.ENSP00000367276	9606.ENSP00000319417	0	0	0	0	0.508	0	0	0.168	0.573
CKAP2	MKI67	9606.ENSP00000367276	9606.ENSP00000357643	0	0	0	0	0.684	0	0	0.187	0.732
CRKL	ITGA2B	9606.ENSP00000346300	9606.ENSP00000262407	0	0	0	0	0	0	0.650	0.123	0.680
CRKL	INPP5D	9606.ENSP00000346300	9606.ENSP00000405338	0	0	0	0	0.044	0.301	0	0.192	0.413
CRKL	DAPP1	9606.ENSP00000346300	9606.ENSP00000423602	0	0	0	0	0	0	0	0.432	0.432
CSF2RA	INPP5D	9606.ENSP00000394227	9606.ENSP00000405338	0	0	0	0	0.106	0	0.500	0.147	0.585
CYP4B1	FMO2	9606.ENSP00000360991	9606.ENSP00000209929	0.042	0	0	0	0.184	0.071	0	0.271	0.400
DCX	KAAG1	9606.ENSP00000490614	9606.ENSP00000274766	0	0	0	0	0	0	0	0.437	0.437
DDX21	IMP4	9606.ENSP00000346120	9606.ENSP00000259239	0	0	0	0	0.344	0.311	0	0.063	0.540
DDX21	TMPO	9606.ENSP00000346120	9606.ENSP00000266732	0	0	0	0	0.110	0.095	0	0.433	0.503
DDX21	POLR1B	9606.ENSP00000346120	9606.ENSP00000444136	0	0	0	0	0.278	0.091	0.500	0.305	0.741
DLG2	SPTBN1	9606.ENSP00000365272	9606.ENSP00000349259	0	0	0	0	0.079	0.071	0	0.555	0.586
DLX1	TDRD1	9606.ENSP00000354478	9606.ENSP00000251864	0	0	0	0	0.048	0	0	0.676	0.678
DLX1	USP44	9606.ENSP00000354478	9606.ENSP00000258499	0	0	0	0	0.067	0.374	0	0.066	0.406
