#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA13	CHI3L1	9606.ENSP00000411096	9606.ENSP00000255409	0	0	0	0	0.063	0	0	0.437	0.450
ABCA13	ZNF573	9606.ENSP00000411096	9606.ENSP00000440464	0	0	0	0	0	0.074	0	0.452	0.471
ACAN	TIMP1	9606.ENSP00000387356	9606.ENSP00000218388	0	0	0	0	0	0	0	0.646	0.646
ACAN	CCL2	9606.ENSP00000387356	9606.ENSP00000225831	0	0	0	0	0.051	0	0	0.593	0.597
ACAN	TNN	9606.ENSP00000387356	9606.ENSP00000239462	0	0	0	0	0.109	0.179	0.500	0.163	0.653
ACAN	FABP4	9606.ENSP00000387356	9606.ENSP00000256104	0	0	0	0	0	0	0	0.479	0.479
ACAN	SEMA3A	9606.ENSP00000387356	9606.ENSP00000265362	0	0	0	0	0	0	0	0.583	0.583
ACAN	GDF6	9606.ENSP00000387356	9606.ENSP00000287020	0	0	0	0	0	0	0	0.498	0.498
ACAN	BGN	9606.ENSP00000387356	9606.ENSP00000327336	0	0	0	0	0.133	0.045	0	0.920	0.928
ACAN	ADAMTS4	9606.ENSP00000387356	9606.ENSP00000356975	0	0	0	0	0.060	0	0.400	0.969	0.981
ACAN	RUNX2	9606.ENSP00000387356	9606.ENSP00000360493	0	0	0	0	0.056	0	0	0.797	0.800
ACAN	MMP12	9606.ENSP00000387356	9606.ENSP00000458585	0	0	0	0	0.045	0	0.400	0.405	0.629
ACSF2	PRAMEF9	9606.ENSP00000401831	9606.ENSP00000485258	0	0	0	0	0	0.408	0	0	0.408
ACSF2	PRAMEF7	9606.ENSP00000401831	9606.ENSP00000484237	0	0	0	0	0	0.408	0	0	0.408
ACSF2	AKAP7	9606.ENSP00000401831	9606.ENSP00000405252	0	0	0	0	0	0.758	0	0	0.758
ADAM9	HBEGF	9606.ENSP00000419446	9606.ENSP00000230990	0	0	0	0	0.067	0	0	0.505	0.518
ADAMTS4	TIMP1	9606.ENSP00000356975	9606.ENSP00000218388	0	0	0	0	0.112	0	0	0.757	0.775
ADAMTS4	CCL2	9606.ENSP00000356975	9606.ENSP00000225831	0	0	0	0	0.232	0	0	0.348	0.477
ADAMTS4	BGN	9606.ENSP00000356975	9606.ENSP00000327336	0	0	0	0	0.049	0	0	0.705	0.708
ADAMTS4	ANXA8	9606.ENSP00000356975	9606.ENSP00000478026	0	0	0	0	0	0	0	0.424	0.424
ADAMTS4	MMP12	9606.ENSP00000356975	9606.ENSP00000458585	0	0	0	0	0.052	0.053	0	0.460	0.474
ADAMTS4	RUNX2	9606.ENSP00000356975	9606.ENSP00000360493	0	0	0	0	0	0	0	0.523	0.523
ADRA2C	GNB3	9606.ENSP00000386069	9606.ENSP00000229264	0	0	0	0	0.061	0.292	0.500	0.213	0.703
AGAP2	EGFLAM	9606.ENSP00000449241	9606.ENSP00000346964	0	0	0	0	0.042	0.048	0	0.425	0.430
AKAP7	FLT3LG	9606.ENSP00000405252	9606.ENSP00000469613	0	0	0	0	0.062	0.451	0	0	0.463
ALK	KRT20	9606.ENSP00000373700	9606.ENSP00000167588	0	0	0	0	0.051	0.097	0	0.522	0.554
ALK	IGFBP5	9606.ENSP00000373700	9606.ENSP00000233813	0	0	0	0	0.049	0	0	0.432	0.436
AMPD3	PDE11A	9606.ENSP00000379802	9606.ENSP00000286063	0	0	0	0	0	0	0.650	0.196	0.706
ANGPTL7	TEK	9606.ENSP00000366015	9606.ENSP00000369375	0	0	0	0	0.103	0.136	0	0.545	0.617
ANPEP	TIMP1	9606.ENSP00000300060	9606.ENSP00000218388	0	0	0	0	0.084	0	0	0.479	0.502
ANPEP	ITGA2B	9606.ENSP00000300060	9606.ENSP00000262407	0	0	0	0	0.048	0	0	0.580	0.583
ANPEP	NAT8	9606.ENSP00000300060	9606.ENSP00000272425	0	0	0	0	0.048	0	0.900	0.077	0.904
ANPEP	CSF1R	9606.ENSP00000300060	9606.ENSP00000286301	0	0	0	0	0.105	0	0	0.499	0.532
ANPEP	CD177	9606.ENSP00000300060	9606.ENSP00000479536	0	0	0	0	0.049	0.292	0	0.186	0.404
ANPEP	CRISP1	9606.ENSP00000300060	9606.ENSP00000338276	0	0	0	0	0.056	0.046	0	0.409	0.421
ANPEP	CTRB1	9606.ENSP00000300060	9606.ENSP00000354294	0	0	0	0	0.062	0.045	0	0.446	0.461
ANPEP	SLC15A1	9606.ENSP00000300060	9606.ENSP00000365686	0	0	0	0	0.102	0.075	0	0.472	0.523
ANXA8	PLAU	9606.ENSP00000478026	9606.ENSP00000361850	0	0	0	0	0.077	0	0	0.435	0.456
AP2A1	HBEGF	9606.ENSP00000351926	9606.ENSP00000230990	0	0	0	0	0	0	0.500	0.053	0.506
AP2A1	GRIA4	9606.ENSP00000351926	9606.ENSP00000282499	0	0	0	0	0	0	0.500	0.044	0.501
AP2A1	DAB2	9606.ENSP00000351926	9606.ENSP00000313391	0	0	0	0	0.044	0.331	0.500	0.241	0.725
AQP12B	SUMO4	9606.ENSP00000384894	9606.ENSP00000318635	0	0	0	0	0	0.475	0	0.177	0.549
ASTN1	BRINP1	9606.ENSP00000354536	9606.ENSP00000265922	0	0	0	0	0.197	0	0	0.530	0.606
ATP12A	TRPM6	9606.ENSP00000218548	9606.ENSP00000354006	0	0	0	0	0.053	0	0	0.452	0.459
ATP12A	ATP1A1	9606.ENSP00000218548	9606.ENSP00000445306	0	0	0.056	0.969	0	0	0.720	0.044	0.725
ATP12A	PLN	9606.ENSP00000218548	9606.ENSP00000350132	0	0	0	0	0	0.268	0.720	0.124	0.804
ATP12A	ATP1B2	9606.ENSP00000218548	9606.ENSP00000250111	0	0	0	0	0.046	0.299	0.720	0.227	0.835
ATP1A1	ATP1B2	9606.ENSP00000445306	9606.ENSP00000250111	0	0	0	0	0.055	0.430	0.900	0.763	0.985
ATP1A1	ATP2B3	9606.ENSP00000445306	9606.ENSP00000263519	0	0	0.211	0.648	0.057	0.057	0	0.326	0.463
ATP1A1	PLN	9606.ENSP00000445306	9606.ENSP00000350132	0	0	0	0	0	0.268	0.720	0.185	0.818
ATP1B2	RS1	9606.ENSP00000250111	9606.ENSP00000369320	0	0	0	0	0.076	0.305	0	0.354	0.549
ATP1B2	PLN	9606.ENSP00000250111	9606.ENSP00000350132	0	0	0	0	0	0	0.720	0.089	0.734
ATR	FANCD2	9606.ENSP00000343741	9606.ENSP00000287647	0	0	0	0	0.102	0.621	0.500	0.639	0.930
BATF	KLRG1	9606.ENSP00000286639	9606.ENSP00000266551	0	0	0	0	0.103	0	0	0.483	0.516
BATF	CD160	9606.ENSP00000286639	9606.ENSP00000358294	0	0	0	0	0.109	0	0	0.370	0.415
BATF	FLT3LG	9606.ENSP00000286639	9606.ENSP00000469613	0	0	0	0	0.069	0.091	0	0.471	0.513
BGN	TIMP1	9606.ENSP00000327336	9606.ENSP00000218388	0	0	0	0	0.174	0.045	0	0.508	0.578
BGN	IGFBP5	9606.ENSP00000327336	9606.ENSP00000233813	0	0	0	0	0.330	0.119	0	0.315	0.560
BGN	PDGFRA	9606.ENSP00000327336	9606.ENSP00000257290	0	0	0	0	0.204	0.068	0	0.277	0.417
BGN	DMP1	9606.ENSP00000327336	9606.ENSP00000340935	0	0	0	0	0.043	0.045	0	0.398	0.401
BGN	MMP12	9606.ENSP00000327336	9606.ENSP00000458585	0	0	0	0	0.125	0	0	0.345	0.403
